c:\users\fury\desktop\2017006144\a1.vms
C 1s/7
	Characteristic Energy eV	1486.69	Acquisition Time s	0.3
KE_C 1s/7	BE_C 1s/7	CPS_C 1s/7	C 1s_1_C 1s/7	C 1s_2_C 1s/7	C 1s_3_C 1s/7	C 1s_4_C 1s/7	C 1s_5_C 1s/7	Background_C 1s/7	Envelope_C 1s/7
1201.84	284.846	7426.67	7191.86	498.104	787.389	498.104	498.107	498.104	7481.15
1201.89	284.796	7586.67	7313.2	492.303	735.517	492.303	492.305	492.303	7556.41
1201.94	284.746	7890	7407	486.249	689.746	486.249	486.25	486.249	7610.5
1201.99	284.696	7626.67	7471.23	480.406	650.058	480.406	480.407	480.406	7640.88
1202.04	284.646	7466.67	7505.89	474.689	615.936	474.689	474.689	474.689	7647.14
1202.09	284.596	7253.33	7510.46	469.142	586.178	469.142	469.142	469.142	7627.5
1202.14	284.546	7290	7484.6	463.56	560.049	463.56	463.56	463.56	7581.09
1202.19	284.496	7310	7428.62	457.957	537.287	457.957	457.957	457.957	7507.95
1202.24	284.446	7420	7343.21	452.26	517.373	452.26	452.26	452.26	7408.32
1202.29	284.396	7396.67	7229.62	446.577	499.755	446.577	446.577	446.577	7282.8
1202.34	284.346	7186.67	7089.57	441.061	484.262	441.061	441.061	441.061	7132.77
1202.39	284.296	6846.67	6925.05	435.819	470.858	435.819	435.82	435.819	6960.08
1202.44	284.246	6786.67	6737.99	430.622	458.976	430.622	430.622	430.622	6766.34
1202.49	284.196	6440	6531.05	425.705	448.528	425.705	425.705	425.705	6553.87
1202.54	284.146	6230	6306.7	420.955	439.225	420.955	420.955	420.955	6324.97
1202.59	284.096	6103.33	6067.57	416.305	430.926	416.305	416.305	416.305	6082.19
1202.64	284.046	6043.33	5816.36	411.7	423.364	411.7	411.7	411.7	5828.02
